Тренирање на DQN агент...
DDQNAgent | Епизода 105 | Макс. позиција: -0.34 | Вкупна награда:    86.8 | Епсилон: 0.59
DDQNAgent | Епизода 106 | Макс. позиција:  0.12 | Вкупна награда:  1944.0 | Епсилон: 0.59
DDQNAgent | Епизода 107 | Макс. позиција: -0.23 | Вкупна награда:   137.5 | Епсилон: 0.58
DDQNAgent | Епизода 108 | Макс. позиција:  0.52 | Вкупна награда:  3715.4 | Епсилон: 0.58
Успех постигнат во епизода 108! Позиција: 0.52

Тестирање на DQN агент:
Тест епизода 1: Макс. позиција 0.54
Тест епизода 2: Макс. позиција -0.35
Тест епизода 3: Макс. позиција -0.32
Тест епизода 4: Макс. позиција -0.32
Тест епизода 5: Макс. позиција -0.33
Тест епизода 6: Макс. позиција 0.51
Тест епизода 7: Макс. позиција -0.37
Тест епизода 8: Макс. позиција -0.33
Тест епизода 9: Макс. позиција -0.34
Тест епизода 10: Макс. позиција -0.35
Стапка на успех: 20.0%

Тестирање на DDQN агент:
Тест епизода 1: Макс. позиција -0.27
Тест епизода 2: Макс. позиција 0.51
Тест епизода 3: Макс. позиција 0.53
Тест епизода 4: Макс. позиција -0.32
Тест епизода 5: Макс. позиција -0.31
Тест епизода 6: Макс. позиција -0.27
Тест епизода 7: Макс. позиција -0.32
Тест епизода 8: Макс. позиција 0.54
Тест епизода 9: Макс. позиција -0.23
Тест епизода 10: Макс. позиција -0.30
Стапка на успех: 30.0%

Конечни резултати:
DQN  Стапка на успех: 20.0%
DDQN Стапка на успех: 30.0%

Вкупен победник: DDQN

---------------------------------------------------------------------------------------------------
Според резултатите, најдобар е агентот DDQN, кој постигна стапка на успех од 30.0% во тестирањето.
Ова е подобрување во однос на DQN агентот, кој имаше стапка на успех од 20.0%.
Исто така е подобрување од лабораториска вежба 2, каде што едвај агентот стигнуваше до целта.
Избрав да работам со повеќе од 50 и 100 епизоди, бидејќи во повеќе епизоди, агентот повеќе учеше и имаше подобри резултати.
